ᐃᒡᓗᖁᑎᒋᔭᐅᖕᒪᖔᑕ	ᐃᒡᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᖔᑕ
ᐃᖅᑲᖅᑐᐃᔨᒃᑲᓐᓂᖅᑖᕋᓱᐊᕆᕗᒍᑦ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᔨ@ᒃᑲᓐᓂᖅ@ᑖ@ᕋᓱᐊ@ᕆ@ᕗᒍᑦ
ᑕᖅᑭᑕᒫᒧᑦ	ᑕᖅᑭ@ᑕᒫ@ᒧᑦ
ᑕᐃᔭᐅᓂᖓᓄᑦ	ᑕᐃ@ᔭ@ᐅ@ᓂ@ᖓᓄᑦ
ᑕᐃᒪᐃᒻᒪᑦᑕᐅᖅ	ᑕᐃᒪᐃᒻ@ᒪᑦ@ᑕᐅᖅ
ᓴᖅᑭᑦᑎᔪᓐᓇᕐᓗᑎᑦ	ᓴᖅᑭᑦ@ᑎ@ᔪᓐᓇᕐ@ᓗᑎᑦ
ᑐᕌᒐᒃᓴᖓᓂᑦ	ᑐᕌ@ᒐ@ᒃᓴ@ᖓᓂᑦ
ᐃᓗᐃᓂ	ᐃᓗ@ᐃ@ᓂ
ᐃᓚᖃᑲᐃᓐᓇᖅᑐᒍᑦ	ᐃᓚ@ᖃ@ᑲᐃᓐᓇᖅ@ᑐᒍᑦ
ᑐᒃᓯᐅᔾᔨᕙᑦᑐᑦ	ᑐᒃᓯ@ᐅᔾ@ᔨ@ᕙᑦ@ᑐᑦ
ᐃᑲᔪᕈᓐᓇᕆᕗᑦ	ᐃᑲᔪ@ᕈᓐᓇ@ᕆ@ᕗᑦ
ᑭᓱᓂᑦ	ᑭᓱ@ᓂᑦ
ᓇᓗᓇᐃᑲᐃᓐᓇᕈᒪᕋᑖᕋᒃᑯ	ᓇᓗᓇ@ᐃ@ᑲᐃᓐᓇ@ᕈᒪ@ᕋᑖ@ᕋᒃᑯ
ᐊᖑᑎᒃᑯᕕᒻᒧᑦ	ᐊᖑ@ᑎ@ᒃᑯ@ᕕᒻ@ᒧᑦ
ᐃᑲᔪᕈᒪᓕᕐᑕᕐᒪᑕ	ᐃᑲᔪ@ᕈᒪ@ᓕᕐ@ᑕᕐ@ᒪᑕ
ᑎᑭᓴᐃᔪᖃᕋᓱᐊᖅᑎᓪᓗᒍ	ᑎᑭ@ᓴ@ᐃ@ᔪ@ᖃ@ᕋᓱᐊᖅ@ᑎᓪᓗᒍ
ᐅᐱᓐᓇᖅᐳᖅ	ᐅᐱᓐ@ᓇᖅ@ᐳᖅ
ᐃᓂᒋᔭᐅᔪᓐᓇᖅᑐᑦ	ᐃᓂ@ᒋ@ᔭ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐊᑐᕈᓐᓇᕐᒪᖔᑦᓯᐅᒃ	ᐊᑐ@ᕈᓐᓇᕐ@ᒪᖔᑦᓯᐅᒃ
ᐊᐃᕙᔪᓂᒃ	ᐊᐃᕙ@ᔪ@ᓂᒃ
ᑐᖏᓕᕆᔭᐅᓂᖓᓄᑦ	ᑐᖏᓕ@ᕆ@ᔭ@ᐅ@ᓂ@ᖓᓄᑦ
ᓯᕗᓪᓕᐅᑎᑕᐅᓪᓗᓂ	ᓯᕗ@ᓪᓕ@ᐅ@ᑎ@ᑕ@ᐅ@ᓪᓗᓂ
ᐅᖃᒪᖃᑎᖃᕈᒪᓪᓗᖓ	ᐅᖃ@ᒪ@ᖃᑎ@ᖃ@ᕈᒪ@ᓪᓗᖓ
ᑕᐃᒪᒧᑦ	ᑕᐃᒪ@ᒧᑦ
ᓴᓇᕙᓪᓕᐊᒐᓱᑦᑐᑦ	ᓴᓇ@ᕙᓪᓕᐊ@ᒐᓱᑦ@ᑐᑦ
ᐅᓇᓕᒃᓴᖅ	ᐅᓇᓕ@ᒃᓴᖅ
ᑲᓇᑕᖃᐃ	ᑲᓇᑕ@ᖃᐃ
ᑲᔪᓯᔪᒪᒻᒪᖔᑦᑕ	ᑲᔪᓯ@ᔪᒪ@ᒻᒪᖔᑦᑕ
ᓄᖅᑲᑎᑦᑎᔪᒪᓪᓗᑎᑦ	ᓄᖅᑲ@ᑎᑦ@ᑎ@ᔪᒪ@ᓪᓗᑎᑦ
ᐃᓱᒪᖃᕐᒪᖔᑕᑦᑕᐅᖅ	ᐃᓱᒪ@ᖃᕐ@ᒪᖔᑕ@ᑦᑕᐅᖅ
ᑕᐃᒃᑯᐊᓗᑦᑕᐅᖅ	ᑕᐃᒃᑯᐊ@ᓗ@ᑦᑕᐅᖅ
ᖁᐊᖃᐅᑎᖓᓄᑦ	ᖁᐊ@ᖃᐅᑎ@ᖓᓄᑦ
ᐊᐅᔭᓕᒫᕌᓗᒎᖅ	ᐊᐅᔭ@ᓕᒫ@ᕌᓗ@ᒎᖅ
ᑭᐅᕗᒍᑦ	ᑭᐅ@ᕗᒍᑦ
ᐋᓐᓂᖅᑎᖅᑕᐅᔪᓄᑦ	ᐋᓐ@ᓂᖅ@ᑎᖅ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᐊᖓᔪᖅᑳᕆᔭᐅᔪᑦ	ᐊᖓᔪᖅᑳ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᐳᕌᓐᑕᓐ	ᐳᕌᓐᑕᓐ
ᑭᐅᒃᑲᓐᓂᕈᒫᕋᒃᑯ	ᑭᐅ@ᒃᑲᓐᓂ@ᕈᒫ@ᕋᒃᑯ
ᐱᖁᑎᒋᔭᐅᔪᑦ	ᐱ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᐸᕐᓇᑎᕆᓂᕐᒧᑦ	ᐸᕐᓇ@ᑎ@ᕆ@ᓂᕐ@ᒧᑦ
ᐊᑐᖅᑕᐅᔪᓐᓇᐃᓕᖕᒪᑕ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᓐᓇ@ᐃ@ᓕ@ᖕᒪᑕ
ᐱᓕᕆᔨᐅᓂᕋᖅᑕᓯ	ᐱ@ᓕᕆ@ᔨ@ᐅ@ᓂᕋᖅ@ᑕ@ᓯ
ᓇᑯᕐᒥ	ᓇᑯᕐ@ᒥ
ᑐᑦᓯᕋᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᑐᑦᓯ@ᕋᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐃᑭᕐᒥᑦ	ᐃᑭᕐ@ᒥᑦ
ᐃᒃᓯᕙᒃᑕᕐᒪᖔᕐᒪ	ᐃᒃᓯᕙ@ᒃ@ᑕᕐ@ᒪᖔᕐᒪ
ᐃᒪᓐᓇᐃᓕᐅᖁᔨᓪᓗᑎᑦ	ᐃᒪᓐᓇ@ᐃᓕ@ᐅ@ᖁ@ᔨ@ᓪᓗᑎᑦ
ᓴᓇᔨᖃᐅᓚᐅᕐᒪᑕ	ᓴᓇ@ᔨ@ᖃᐅ@ᓚᐅᕐ@ᒪᑕ
ᑳᓐᑐᕌᒍᑎᒃᓴᖅ	ᑳᓐᑐᕌ@ᒍᑎ@ᒃᓴᖅ
ᑐᕌᓐᑐᒥᑦ	ᑐᕌᓐᑐ@ᒥᑦ
ᖃᐅᔨᑦᑕᕆᔭᐅᔪᑦ	ᖃᐅᔨ@ᑦ@ᑕ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᓴᓇᔨᖃᖅᑎᓪᓗᒍ	ᓴᓇ@ᔨ@ᖃᖅ@ᑎᓪᓗᒍ
ᐱᒋᔭᐅᔪᓂᑦ	ᐱ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᒪᒥᓴᕐᕕᒃᓴᐅᔪᒥᒃ	ᒪᒥ@ᓴᕐ@ᕕ@ᒃᓴ@ᐅ@ᔪ@ᒥᒃ
ᑯᑦᑐᑦᑕᒥᓂᒃ	ᑯᑦᑐᑦ@ᑕ@ᒥ@ᓂᒃ
ᓴᖅᑭᑦᑎᔪᓐᓇᕐᒪᑕ	ᓴᖅᑭᑦ@ᑎ@ᔪᓐᓇᕐ@ᒪᑕ
ᐅᖃᖅᐸᓪᓕᐊᓕᕐᒪᑕ	ᐅᖃᖅ@ᐸᓪᓕᐊ@ᓕᕐ@ᒪᑕ
ᐊᑭᖃᖅᑎᓪᓗᒍ	ᐊᑭ@ᖃᖅ@ᑎᓪᓗᒍ
ᐃᕐᖑᓯᐊᓗᒃ	ᐃᕐᖑᓯ@ᐊᓗᒃ
ᐃᒻᒥᓂᓪᓘᓐᓃᑦ	ᐃᒻᒥᓂᓪ@ᓘᓐᓃᑦ
ᐱᐊᓂᒍᒪᒻᒪᑕ	ᐱ@ᐊᓂ@ᒍᒪ@ᒻᒪᑕ
ᑭᓯᐊᓂᐅᒻᒥᒻᒪᑦ	ᑭᓯ@ᐊ@ᓂ@ᐅ@ᒻᒥ@ᒻᒪᑦ
ᐊᑲᐅᖏᓪᓚᕆᒻᒪᑦ	ᐊᑲᐅ@ᖏ@ᓪᓚᕆᒻ@ᒪᑦ
ᖃᐃᓗᑎᑦ	ᖃᐃ@ᓗᑎᑦ
ᑕᒪᒃᑯᐊᓕᖃᐃ	ᑕᒪᒃᑯᐊ@ᓕ@ᖃᐃ
ᐊᑐᕐᑕᐅᔪᒪᔪᓂᒃ	ᐊᑐᕐ@ᑕ@ᐅ@ᔪᒪ@ᔪ@ᓂᒃ
ᐸᑦᑕᖅᑐᖅᐸᒃᑲ	ᐸᑦᑕ@ᖅᑐᖅ@ᐸ@ᒃᑲ
ᑐᕌᖅᑎᑕᐅᖕᒪᑦ	ᑐᕌᖅ@ᑎ@ᑕ@ᐅ@ᖕᒪᑦ
ᐱᔪᒪᕙᒻᒪᑕ	ᐱ@ᔪᒪ@ᕙᒻ@ᒪᑕ
ᐃᖏᓪᓗᑕ	ᐃᖏᓪ@ᓗᑕ
ᐃᓂᖃᓛᖅᑎᓪᓗᒍ	ᐃᓂ@ᖃ@ᓛᖅ@ᑎᓪᓗᒍ
ᐊᐱᖁᔭᕐᔪᐊᖅ	ᐊᐱ@ᖁ@ᔭᕐ@ᔪᐊᖅ
ᑐᙵᔪᒧᑦ	ᑐᙵ@ᔪ@ᒧᑦ
ᑐᕌᖅᑕᕆᔭᐅᒻᒪᑦ	ᑐᕌᖅ@ᑕ@ᕆ@ᔭ@ᐅ@ᒻᒪᑦ
ᐊᓪᓚᖅᑎᑦᑎᒻᒪᑦ	ᐊᓪᓚᖅ@ᑎᑦ@ᑎ@ᒻᒪᑦ
ᑐᕌᒐᐅᔪᓂᒃ	ᑐᕌ@ᒐ@ᐅ@ᔪ@ᓂᒃ
ᐋᓐᓂᐊᕆᔭᐅᕙᑦᑐᑦ	ᐋᓐᓂᐊ@ᕆ@ᔭ@ᐅ@ᕙᑦ@ᑐᑦ
ᐸᕐᓇᐅᑕᐅᔪᒥᑦ	ᐸᕐᓇ@ᐅᑕ@ᐅ@ᔪ@ᒥᑦ
ᐸᓴᓇᕆᓪᓗᓂ	ᐸᓴ@ᓇ@ᕆᓪ@ᓗᓂ
ᑲᑕᑉᐸᓪᓕᐊᔪᒧᑦ	ᑲᑕᑉ@ᐸᓪᓕᐊ@ᔪ@ᒧᑦ
ᖃᖓᓂᑕᐅᒻᒪᑕ	ᖃᖓ@ᓂᑕ@ᐅ@ᒻᒪᑕ
ᓄᖅᑲᖓᕚᓪᓕᕈᓐᓇᕐᒪᖔᑦ	ᓄᖅᑲ@ᖓ@ᕚᓪᓕ@ᕈᓐᓇᕐ@ᒪᖔᑦ
ᐱᔨᑦᓯᖃᑦᑕᖅᑐᒍᑦ	ᐱ@ᔨ@ᑦᓯ@ᖃᑦᑕᖅ@ᑐᒍᑦ
ᑭᐅᔭᐅᔪᒪᕗᒍᑦ	ᑭᐅ@ᔭ@ᐅ@ᔪᒪ@ᕗᒍᑦ
ᐱᖑᐊᕐᔪᒃ	ᐱᖑ@ᐊᕐᔪᒃ
ᓴᖅᑭᑦᑐᖃᖅᐹᑦ	ᓴᖅᑭᑦ@ᑐ@ᖃᖅ@ᐹᑦ
ᐃᓱᒪᖃᖅᐱᑕ	ᐃᓱᒪ@ᖃᖅ@ᐱᑕ
ᐃᕐᖓᐅᑦ	ᐃᕐᖓ@ᐅᑦ
ᓴᓇᙳᐊᕐᓂᖅ	ᓴᓇ@ᙳᐊᕐ@ᓂᖅ
ᑭᓇᓗᖕᒧᑦ	ᑭᓇ@ᓗᖕ@ᒧᑦ
ᖃᐅᔨᒪᖁᔨᕗᒍᑦ	ᖃᐅᔨᒪ@ᖁ@ᔨ@ᕗᒍᑦ
ᑭᐅᓚᐅᕐᒪᑕ	ᑭᐅ@ᓚᐅᕐ@ᒪᑕ
ᐅᖃᐅᔾᔨᔨᐅᕙᑦ	ᐅᖃ@ᐅᔾ@ᔨ@ᔨ@ᐅ@ᕙᑦ
ᓇᖏᖅᓯᔪᓐᓇᕈᕕᑦ	ᓇᖏᖅ@ᓯ@ᔪᓐᓇ@ᕈᕕᑦ
ᐊᕐᓇᖃᕐᓗ	ᐊᕐᓇ@ᖃᕐ@ᓗ
ᑭᐅᓂᕆᔭᐅᔪᒧᑦ	ᑭᐅ@ᓂ@ᕆ@ᔭ@ᐅ@ᔪ@ᒧᑦ
ᕿᓂᓚᐅᖅᐳᑦ	ᕿᓂ@ᓚᐅᖅ@ᐳᑦ
ᖃᐅᔨᓴᕋᓱᒃᑐᒍᑦ	ᖃᐅᔨ@ᓴ@ᕋᓱᒃ@ᑐᒍᑦ
ᖃᐅᔨᒪᕗᓯᓗ	ᖃᐅᔨᒪ@ᕗᓯ@ᓗ
ᐊᖏᕇᖅᑲᐅᒐᔅᓯᐅᒃ	ᐊᖏ@ᕇ@ᖅᑲᐅ@ᒐᔅᓯᐅᒃ
ᑲᒥᓯᓇᒋᔭᐅᖕᒥᔪᖅ	ᑲᒥᓯᓇ@ᒋ@ᔭ@ᐅ@ᖕᒥ@ᔪᖅ
ᓯᕗᓪᓕᐅᖁᔭᐅᔪᓂᒃ	ᓯᕗ@ᓪᓕ@ᐅ@ᖁ@ᔭ@ᐅ@ᔪ@ᓂᒃ
ᐊᐅᓪᓚᖅᑎᑕᐅᖔᕐᓗᓂ	ᐊᐅ@ᓪᓚᖅ@ᑎ@ᑕ@ᐅ@ᖔᕐ@ᓗᓂ
ᓴᖑᔪᑦ	ᓴᖑ@ᔪᑦ
ᐃᓚᒌᔅᓴᑯᓐᓂᑦ	ᐃᓚ@ᒌ@ᔅᓴ@ᑯᓐ@ᓂᑦ
ᐊᓯᑦᔨᖅᑕᐅᕙᑦ	ᐊᓯ@ᑦᔨᖅ@ᑕ@ᐅ@ᕙᑦ
ᑐᔪᓯᕐᒧᑦ	ᑐᔪ@ᓯᕐ@ᒧᑦ
ᖃᐅᔨᒃᑲᖅᑕᐅᕙᒻᒪᑦ	ᖃᐅᔨ@ᒃᑲᖅ@ᑕ@ᐅ@ᕙᒻ@ᒪᑦ
ᐅᔭᕋᒃᓴᒧᑦ	ᐅᔭᕋ@ᒃᓴ@ᒧᑦ
ᓇᓗᓇᕐᒪᑦ	ᓇᓗ@ᓇᕐ@ᒪᑦ
ᐃᑯᒪᔪᓄᑦ	ᐃᑯᒪ@ᔪ@ᓄᑦ
ᑕᐃᒪᐃᓐᓇᓱᒃᑐᒍᑦ	ᑕᐃᒪᐃᓐ@ᓇᓱᒃ@ᑐᒍᑦ
ᖁᕕᐊᒋᔭᖃᓚᐅᕐᒥᔪᑦ	ᖁᕕᐊ@ᒋ@ᔭ@ᖃ@ᓚᐅᕐ@ᒥ@ᔪᑦ
ᐃᒪᓐᓇᐅᒻᒪᑦ	ᐃᒪᓐᓇ@ᐅ@ᒻᒪᑦ
ᑐᓂᔭᐅᕙᓪᓚᐃᕙᒻᒪᑕ	ᑐᓂ@ᔭ@ᐅ@ᕙᓪᓚᐃ@ᕙᒻ@ᒪᑕ
ᒑᓴᓖᑕᖃᓕᖅᑎᓪᓗᒍ	ᒑᓴᓖ@ᑕᖃ@ᓕᖅ@ᑎᓪᓗᒍ
ᖁᕕᐊᒻᒪᕆᖕᒪᑦ	ᖁᕕᐊ@ᒻᒪᕆᖕ@ᒪᑦ
ᐊᖅᑲᓗᒃ	ᐊᖅᑲ@ᓗᒃ
ᑐᕌᖓᓂᖃᐃᓐᓇᖅᐳᑦ	ᑐᕌ@ᖓ@ᓂ@ᖃ@ᐃᓐᓇᖅ@ᐳᑦ
ᐱᔪᓐᓇᕐᓂᕐᒧᑦ	ᐱ@ᔪᓐᓇᕐ@ᓂᕐ@ᒧᑦ
ᑕᐃᒪᐃᒻᒥᒻᒪᖔᖅ	ᑕᐃᒪᐃᒻ@ᒥ@ᒻᒪᖔᖅ
ᐱᒻᒪᕆᐅᒻᒪᓪᓕ	ᐱ@ᒻᒪᕆ@ᐅ@ᒻᒪᓪ@ᓕ
ᐃᓕᓴᕆᔭᐅᓚᐅᕐᒥᔪᖅ	ᐃᓕᓴ@ᕆ@ᔭ@ᐅ@ᓚᐅᕐ@ᒥ@ᔪᖅ
ᐱᓕᕆᖃᑎᒌᒻᒪᑎ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌᒻ@ᒪᑎ
ᓄᖃᖓᑲᐃᓐᓇᕈᒪᓪᓗᖓ	ᓄ@ᖃ@ᖓ@ᑲᐃᓐᓇ@ᕈᒪ@ᓪᓗᖓ
ᓅᕕᑉᐱᕆ	ᓅᕕᑉᐱᕆ
ᐊᕐᕌᒍᖃᓕᕌᖓᑦ	ᐊᕐᕌᒍ@ᖃ@ᓕ@ᕌᖓᑦ
ᐅᕙᑦᑎᓐᓄᓪᓗ	ᐅᕙ@ᑦᑎᓐᓄᓪ@ᓗ
ᐅᖃᐅᔾᔨᒋᐊᖅᑎᓪᓗᒍ	ᐅᖃ@ᐅᔾ@ᔨ@ᒋᐊᖅ@ᑎᓪᓗᒍ
ᕿᓂᕋᓱᒍᓐᓇᖅᐳᒍᑦ	ᕿᓂ@ᕋᓱ@ᒍᓐᓇᖅ@ᐳᒍᑦ
ᑐᔪᐃᔪᓐᓇᕐᒪᖔᕐᒪ	ᑐᔪ@ᐃ@ᔪᓐᓇᕐ@ᒪᖔᕐᒪ
ᐃᖅᑲᖅᑐᐃᔨᐅᔪᒧᑦ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᔨ@ᐅ@ᔪ@ᒧᑦ
ᐋᖅᑭᒋᐊᕐᕕᖃᖅᑐᓴᐅᒻᒪᖔᑕ	ᐋᖅᑭ@ᒋᐊᕐ@ᕕ@ᖃᖅ@ᑐ@ᓴ@ᐅ@ᒻᒪᖔᑕ
ᒪᓐᓇᕈᓗᓚᐅᖅᑐᒧᑦ	ᒪᓐᓇ@ᕈᓗ@ᓚᐅᖅ@ᑐ@ᒧᑦ
ᓴᓇᔨᒐ	ᓴᓇ@ᔨ@ᒐ
ᖁᕕᐊᖅᑲᐅᒻᒪᑦ	ᖁᕕᐊ@ᖅᑲᐅ@ᒻᒪᑦ
ᐅᑦᔨᕈᓱᑉᐳᑦ	ᐅᑦᔨ@ᕈᓱᑉ@ᐳᑦ
ᐃᕿᓪᓕᒃ	ᐃᕿᓪ@ᓕᒃ
ᓂᕆᔭᒃᓴᖃᙱᓗᐊᖃᑦᑕᖅᑐᑦ	ᓂᕆ@ᔭ@ᒃᓴ@ᖃ@ᙱ@ᓗᐊ@ᖃᑦᑕᖅ@ᑐᑦ
ᑎᑭᓚᐅᕐᑐᑦ	ᑎᑭ@ᓚᐅᕐ@ᑐᑦ
ᐊᐱᕆᔪᖃᓕᕐᒥᖕᒪᑦ	ᐊᐱᕆ@ᔪ@ᖃ@ᓕᕐ@ᒥ@ᖕᒪᑦ
ᑕᒪᔾᔭᐅᒻᒥᔪᑦ	ᑕᒪᔾᔭ@ᐅ@ᒻᒥ@ᔪᑦ
ᓂᙵᐅᑎᔪᓂᑦ	ᓂᙵ@ᐅᑎ@ᔪ@ᓂᑦ
ᓄᓇᖃᑎ	ᓄᓇ@ᖃᑎ
ᐃᖏᕐᕋᕙᒃᑐᒧᑦ	ᐃᖏᕐᕋ@ᕙᒃ@ᑐ@ᒧᑦ
ᑐᓴᖅᑎᑕᐅᔪᒪᓚᐅᖅᐳᑦ	ᑐᓴᖅ@ᑎ@ᑕ@ᐅ@ᔪᒪ@ᓚᐅᖅ@ᐳᑦ
ᒐᕙᒪᒃᑯᓕᒫᒧᑦ	ᒐᕙᒪ@ᒃᑯ@ᓕᒫ@ᒧᑦ
ᐊᖏᖅᑕᐅᓇᓱᒻᒪᑕ	ᐊᖏᖅ@ᑕ@ᐅ@ᓇᓱᒻ@ᒪᑕ
ᐃᖏᕐᕋᔫᓕᕆᔨᒃᑯᓂᒃ	ᐃᖏᕐᕋ@ᔫ@ᓕᕆ@ᔨ@ᒃᑯ@ᓂᒃ
ᐱᕙᓪᓕᐊᓂᖃᖅᑎᓪᓗᒋᑦ	ᐱ@ᕙᓪᓕᐊ@ᓂ@ᖃᖅ@ᑎᓪᓗᒋᑦ
ᓄᑲᖅᑎᐅᔪᓂᑦ	ᓄᑲᖅ@ᑎ@ᐅ@ᔪ@ᓂᑦ
ᐅᖃᕈᓐᓇᕆᓪᓗᖓᓗ	ᐅᖃ@ᕈᓐ@ᓇ@ᕆᓪ@ᓗᖓ@ᓗ
ᒪᑐᕙᕋ	ᒪᑐ@ᕙ@ᕋ
ᖃᐅᔨᒪᒍᒪᒻᒪᑕ	ᖃᐅᔨᒪ@ᒍᒪ@ᒻᒪᑕ
ᐊᕐᕌᓂᓴᐅᖕᒪᑕ	ᐊᕐᕌ@ᓂᓴ@ᐅ@ᖕᒪᑕ
ᐱᔪᒪᔪᖃᑦᑎᓪᓗᒍ	ᐱ@ᔪᒪ@ᔪ@ᖃᑦ@ᑎᓪᓗᒍ
ᑕᓗᕐᔪᐊᕐᒥᐅᓄ	ᑕᓗ@ᕐᔪᐊᕐ@ᒥ@ᐅ@ᓄ
ᐊᑲᐅᒃᓴᖃᑦᑕᖏᒻᒪᑕ	ᐊᑲᐅ@ᒃᓴ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᓴᖅᑭᖃᑦᑕᓕᖅᑐᑦ	ᓴᖅᑭ@ᖃᑦᑕ@ᓕᖅ@ᑐᑦ
ᐱᓇᓱᒃᐱᑎᒍᑦ	ᐱ@ᓇᓱᒃ@ᐱᑎᒍᑦ
ᒪᓕᒃᑐᑦ	ᒪᓕᒃ@ᑐᑦ
ᒐᕙᒪᒃᑯᓕᒫᖅ	ᒐᕙᒪ@ᒃᑯ@ᓕᒫᖅ
ᓴᓇᒐᓱᐊᕐᓂᖅ	ᓴᓇ@ᒐᓱᐊᕐ@ᓂᖅ
ᐊᒥᓕᕆᔨᓄᑦ	ᐊᒥ@ᓕᕆ@ᔨ@ᓄᑦ
ᑕᑯᕋᑖᖏᓐᓇᒪ	ᑕᑯ@ᕋᑖ@ᖏᓐᓇ@ᒪ
ᓂᐱᖃᕐᓗᑎᑦ	ᓂᐱ@ᖃᕐ@ᓗᑎᑦ
ᐅᖃᐱᓪᓚᒍᓐᓇᕈᑎᒃ	ᐅᖃ@ᐱᓪᓚ@ᒍᓐᓇ@ᕈᑎᒃ
ᓴᖅᑭᑎᒃᓯᓇᓱᒃᐳᒍᑦ	ᓴᖅᑭ@ᑎᒃ@ᓯ@ᓇᓱᒃ@ᐳᒍᑦ
ᐋᑐᕚᒥᐅᑕᐅᓪᓗᓂ	ᐋᑐᕚ@ᒥᐅᑕ@ᐅ@ᓪᓗᓂ
ᐊᐱᖅᓱᕐᕕᖃᓕᕐᒥᒍᒪ	ᐊᐱᖅ@ᓱᕐ@ᕕ@ᖃ@ᓕᕐ@ᒥ@ᒍᒪ
ᑎᑎᕋᖅᑎᒋᓚᐅᕐᒪᒍ	ᑎᑎ@ᕋᖅ@ᑎ@ᒋ@ᓚᐅᕐ@ᒪᒍ
ᓇᓗᓇᖅᐸᒻᒪᑦ	ᓇᓗ@ᓇᖅ@ᐸᒻ@ᒪᑦ
ᐃᓕᓴᕆᔭᐅᔪᒪᒍᕕᑦ	ᐃᓕᓴ@ᕆ@ᔭ@ᐅ@ᔪᒪ@ᒍᕕᑦ
ᐃᓪᓗᐊᓐᓄᒐ	ᐃᓪᓗ@ᐊᓐᓄ@ᒐ
ᐃᓚᒋᑦᑎᐊᖅᐸᐅᒃ	ᐃᓚ@ᒋ@ᑦᑎᐊᖅ@ᐸᐅᒃ
ᓴᓂᕋᔭᕐᒧᓘᓐᓃᑦ	ᓴᓂᕋᔭᕐ@ᒧ@ᓘᓐᓃᑦ
ᐊᓯᑕᖃᕆᕗᖅ	ᐊᓯ@ᑕᖃ@ᕆ@ᕗᖅ
ᐊᓯᙳᖁᔭᐅᔪᓂᒃ	ᐊᓯ@ᙳ@ᖁ@ᔭ@ᐅ@ᔪ@ᓂᒃ
ᐃᓚᒋ	ᐃᓚ@ᒋ
ᐅᖃᖅᑲᐅᖕᒪᒍ	ᐅᖃ@ᖅᑲᐅ@ᖕᒪᒍ
ᑐᓴᐅᔭᐃᓐᓇᖃᑦᑕᕋᒃᑯ	ᑐᓴ@ᐅ@ᔭ@ᐃᓐᓇ@ᖃᑦᑕ@ᕋᒃᑯ
ᐅᖃᖅᐳᖅ	ᐅᖃᖅ@ᐳᖅ
ᐅᖃᕋᓱᒃᐲᑦ	ᐅᖃ@ᕋᓱᒃ@ᐲᑦ
ᐊᑲᐅᔪᒻᒪᕆᒃ	ᐊᑲᐅ@ᔪ@ᒻᒪᕆᒃ
ᑐᕌᕐᕕᖓᓄᑦ	ᑐᕌᕐ@ᕕ@ᖓᓄᑦ
ᓄᒃᑎᖅᐸᓪᓕᐊᒻᒪᑕ	ᓄᒃᑎᖅ@ᐸᓪᓕᐊ@ᒻᒪᑕ
ᑲᒪᒋᓂᖅ	ᑲᒪ@ᒋ@ᓂᖅ
ᑐᕌᕈᓐᓇᓯᒻᒥᔪᒍᑦ	ᑐᕌ@ᕈᓐᓇ@ᓯ@ᒻᒥ@ᔪᒍᑦ
ᐊᓯᒃᑲᓂᖏᓂ	ᐊᓯ@ᒃᑲᓂ@ᖏ@ᓂ
ᓱᒃᑲᐃᔾᔪᑕᐅᔪᓐᓇᖅᑐᑦ	ᓱ@ᒃᑲ@ᐃ@ᔾᔪᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᖃᐅᔨᒪᒻᒪᕆᑉᐳᒍᑦ	ᖃᐅᔨᒪ@ᒻᒪᕆᑉ@ᐳᒍᑦ
ᓯᒡᒐᓕᐊᓕᕆᓂᕐᒧᑦ	ᓯᒡᒐᓕᐊ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐊᐱᖅᓱᖅᑎᒋᔭᐅᕙᑦᑐᑦ	ᐊᐱᖅ@ᓱᖅ@ᑎ@ᒋ@ᔭ@ᐅ@ᕙᑦ@ᑐᑦ
ᐅᐱᒋᑦᓯᐊᕆᕙᕋ	ᐅᐱ@ᒋ@ᑦᓯᐊ@ᕆ@ᕙᕋ
ᐋᖅᑭᐸᓪᓕᐊᓂᕐᒥᑦ	ᐋᖅᑭ@ᐸᓪᓕᐊ@ᓂᕐ@ᒥᑦ
ᐃᒻᒥᓂᐊᕐᑐᖃᓚᐅᕐᑎᓪᓗᒍ	ᐃᒻᒥᓂ@ᐊᕐ@ᑐ@ᖃ@ᓚᐅᕐ@ᑎᓪᓗᒍ
ᔅᑰᓴᒥᑦ	ᔅᑰᓴ@ᒥᑦ
ᖁᑭᐊᔪᒍᑦ	ᖁᑭ@ᐊ@ᔪᒍᑦ
ᐊᐅᓚᕙᒻᒪᖔᑕ	ᐊᐅᓚ@ᕙᒻ@ᒪᖔᑕ
